t,P_X_t_red_unconditional,P_X_t_red_unconditional_expected,mean_conditional_prediction,mean_squared_residual
1,0.4992,0.5,0.5,0.25
2,0.49735,0.5,0.5000080808080818,0.2500068207325598
3,0.50345,0.5,0.5000352040816328,0.24999625676798487
4,0.49825,0.5,0.5000000000000037,0.24995883196939703
5,0.50125,0.5,0.5000182291666655,0.24978926323786582
6,0.5034,0.5,0.5000052631578943,0.24982460941829704
7,0.5055,0.5,0.4999691489361728,0.24982681077410074
8,0.50295,0.5,0.4999096774193547,0.24996971326162207
9,0.50115,0.5,0.49987663043478214,0.2499116316162628
10,0.4961,0.5,0.4998626373626381,0.24993052771405327
11,0.50015,0.5,0.49990444444444476,0.24979761728392735
12,0.5013,0.5,0.4999016853932603,0.2497555043554928
13,0.49665,0.5,0.49988579545454187,0.24962538094009137
14,0.5002,0.5,0.4999229885057492,0.24979630070022307
15,0.50615,0.5,0.4999197674418575,0.2495985938344905
16,0.50385,0.5,0.49984647058823484,0.24969781314883693
17,0.49935,0.5,0.49979880952381317,0.24940814909296588
18,0.50045,0.5,0.4998042168674724,0.24942165771520378
19,0.50095,0.5,0.4997963414634107,0.24947757287330954
20,0.5027,0.5,0.49978209876543445,0.24924035208046813
21,0.5029,0.5,0.49974562500000236,0.24960030468751157
22,0.501,0.5,0.4997056962025308,0.24894283768630654
23,0.502,0.5,0.49968910256410526,0.24947331525312633
24,0.4987,0.5,0.4996590909090901,0.24918353010624655
25,0.50515,0.5,0.49967171052631904,0.24962623788087876
26,0.4932,0.5,0.4995986666666626,0.24874531555559257
27,0.49805,0.5,0.49968513513513835,0.2486798027757751
28,0.5039,0.5,0.49970753424657494,0.24910742165508679
29,0.50465,0.5,0.49964930555555637,0.24887234760798296
30,0.4996,0.5,0.4995788732394366,0.24911460027771767
31,0.50285,0.5,0.49957857142857365,0.24886585714287088
32,0.50055,0.5,0.49953115942028864,0.24908960302460245
33,0.50125,0.5,0.49951617647058794,0.24883728373704694
34,0.49985,0.5,0.4994902985074623,0.2487595010024731
35,0.4998,0.5,0.4994848484848454,0.24848962350779483
36,0.5032,0.5,0.4994800000000029,0.24843581065090647
37,0.5009,0.5,0.499421875,0.2489960205078125
38,0.502,0.5,0.4993984126984159,0.2484078357269141
39,0.4967,0.5,0.49935645161289677,0.24866142039542805
40,0.4985,0.5,0.4993999999999989,0.2483712442891927
41,0.50225,0.5,0.4994150000000008,0.248129277777792
42,0.49475,0.5,0.4993669491525433,0.24782697500716336
43,0.4972,0.5,0.4994465517241379,0.24814812722950355
44,0.50165,0.5,0.49948596491228375,0.24839549092028246
45,0.49625,0.5,0.4994473214285716,0.24840310905613172
46,0.50055,0.5,0.4995054545454494,0.248081702479338
47,0.49945,0.5,0.499486111111111,0.24796610082304352
48,0.50005,0.5,0.4994867924528317,0.2478889462442222
49,0.4999,0.5,0.4994759615384651,0.24831481139051262
50,0.4985,0.5,0.49946764705882085,0.24789517493273483
51,0.4996,0.5,0.4994869999999979,0.2478061399999965
52,0.4951,0.5,0.49948469387754996,0.24739123281965758
53,0.5025,0.5,0.4995760416666704,0.24706699218749678
54,0.50295,0.5,0.4995138297872346,0.2468487098234544
55,0.5036,0.5,0.49943913043478033,0.24731096408319692
56,0.49235,0.5,0.4993466666666663,0.24686135802469872
57,0.4986,0.5,0.49950568181817806,0.2466234762396798
58,0.502,0.5,0.4995267441860432,0.24664167117359298
59,0.4927,0.5,0.49946785714285635,0.2465953798186112
60,0.50225,0.5,0.49963292682926513,0.24553087447949243
61,0.5014,0.5,0.49956750000000055,0.2463683750000036
62,0.50665,0.5,0.49952051282051324,0.24568129520052467
63,0.5036,0.5,0.499332894736842,0.2463741343490412
64,0.5,0.5,0.499217567567564,0.2452391891892115
65,0.4994,0.5,0.4991958333333317,0.24542226080245505
66,0.4902,0.5,0.4991899999999955,0.24556673469387744
67,0.50075,0.5,0.49945441176470584,0.245436029411774
68,0.5,0.5,0.49941515151514904,0.2447226813590287
69,0.49555,0.5,0.499396875,0.2440849609375
70,0.49645,0.5,0.4995209677419357,0.24359927159214068
71,0.50105,0.5,0.4996233333333341,0.244173222222234
72,0.50245,0.5,0.4995741379310346,0.2435065398335325
73,0.5052,0.5,0.49947142857142846,0.24416045918367313
74,0.49725,0.5,0.49925925925926085,0.24397578875170076
75,0.4989,0.5,0.49933653846153936,0.24170791420117235
76,0.5014,0.5,0.49935399999999647,0.24279528000000306
77,0.4992,0.5,0.49926874999999515,0.24329557291666215
78,0.4987,0.5,0.499271739130436,0.24132901701326842
79,0.5001,0.5,0.49929772727272603,0.23998935950413192
80,0.5,0.5,0.4992595238095231,0.2406468253968483
81,0.50045,0.5,0.499222500000001,0.2396481249999737
82,0.49905,0.5,0.49915789473684047,0.2384170360110801
83,0.50075,0.5,0.4991638888888873,0.23913811728396517
84,0.5061,0.5,0.49907058823529477,0.23654948096886905
85,0.4974,0.5,0.49863125,0.2361796875
86,0.4994,0.5,0.49871333333333195,0.23683333333334744
87,0.4972,0.5,0.49866428571428423,0.23435357142857582
88,0.496,0.5,0.49877692307692595,0.23387928994081575
89,0.4996,0.5,0.4990083333333318,0.2313250000000327
90,0.4985,0.5,0.49895454545454393,0.22949586776859637
91,0.4971,0.5,0.4990000000000017,0.22688999999998788
92,0.5018,0.5,0.4992111111111121,0.22653333333336237
93,0.5027,0.5,0.4988875,0.22100625
94,0.49735,0.5,0.4983428571428547,0.2157826530612513
95,0.4962,0.5,0.4985083333333318,0.20972083333335304
96,0.49985,0.5,0.4989699999999987,0.20206799999998043
97,0.50105,0.5,0.49875,0.18930625
98,0.49565,0.5,0.4979833333333352,0.16741111111112736
99,0.49915,0.5,0.49915,0.126875
100,0.49915,0.5,0.49915,0.0
